Player ID,Full Name,Bingo Card
361914,Nayef Aguerd,559
469822,David Neres,559
3332,Wayne Rooney,559
91845,Heung-min Son,559
398073,Achraf Hakimi,559
171424,Riyad Mahrez,559
57071,Peter Gulacsi,559
131789,Roberto Firmino,559
37579,Alexandre Pato,559
22969,Gabi,559
355915,Cristian Romero,559
444523,Lucas Paqueta,559
427568,Aaron Ramsdale,559
360518,Teun Koopmeiners,559
4248,Diego,559
4182,Claude Makelele,559
16922,Kevin-Prince Boateng,559
33481,Gervinho,559
16306,Casemiro,559
22202,Diego Milito,559
203853,Oleksandr Zinchenko,559
462250,Joao Felix,559
4192,Rafael van der Vaart,559
463618,Khephren Thuram,559
487465,Pedro Neto,560
355915,Cristian Romero,560
357153,Diogo Costa,560
207929,Dele Alli,560
35773,Carlos Vela,560
231289,Otavio,560
128223,Alvaro Morata,560
351809,Robin Le Normand,560
100986,Thomas Meunier,560
341092,Federico Chiesa,560
546543,Darwin Nunez,560
125781,Antoine Griezmann,560
281963,Lucas Hernandez,560
7594,Carles Puyol,560
486049,Jeremy Doku,560
5813,Gennaro Gattuso,560
28021,Samir Handanovic,560
5023,Gianluigi Buffon,560
442891,Martin Terrier,560
39983,Leonardo Bonucci,560
7767,Fernando Torres,560
550550,Goncalo Ramos,560
16911,Kasper Schmeichel,560
250845,Jose Maria Gimenez,560
4010,Dirk Kuyt,560
249565,Youri Tielemans,560
496094,Karim Adeyemi,560
3291,Gareth Barry,560
294808,Franck Kessie,560
242086,Patrik Schick,560
54928,Diego Godin,560
513245,Jesper Lindstrom,560
3140,Ronaldo,560
467720,Youssoufa Moukoko,560
54781,Nicolas Otamendi,560
58358,Thomas Muller,560
4192,Rafael van der Vaart,560
132098,Harry Kane,560
418560,Erling Haaland,560
139208,Virgil van Dijk,560
338424,Mikel Merino,560
37579,Alexandre Pato,560
93128,Kalidou Koulibaly,561
776890,Nicolas Jackson,561
486049,Jeremy Doku,561
102017,Jorginho,561
186590,John Stones,561
5938,Walter Samuel,561
198008,Andre Silva,561
628451,Romeo Lavia,561
176553,Aymeric Laporte,561
44352,Luis Suarez,561
495666,William Saliba,561
488362,Conor Gallagher,561
3160,John Terry,561
371149,Evan Ndicka,561
88755,Kevin De Bruyne,561
349599,Pervis Estupinan,561
14132,Pepe,561
4257,Samuel Eto'o,561
423440,Martin Zubimendi,561
7767,Fernando Torres,561
39152,Radamel Falcao,561
28021,Samir Handanovic,561
44501,Marcelo,561
29364,Joao Moutinho,561
648046,Evan Ferguson,561
240306,Bruno Fernandes,561
33706,Nani,561
3183,Patrick Vieira,561
273132,Robin Gosens,561
3372,Rivaldo,561
354362,Rodrigo Bentancur,561
354361,Frank Anguissa,561
5283,Eric Abidal,561
132098,Harry Kane,561
215876,Ricardo Pereira,561
37579,Alexandre Pato,561
303254,Fikayo Tomori,561
342229,Kylian Mbappe,561
126664,Lucas Digne,561
496094,Karim Adeyemi,561
167799,Pierre-Emile Hojbjerg,561
420243,Jurrien Timber,561
44162,Miralem Pjanic,562
687626,Moises Caicedo,562
598577,Florian Wirtz,562
126540,Samuel Umtiti,562
4015,Louis Saha,562
628451,Romeo Lavia,562
258004,Ruben Dias,562
41384,Marko Arnautovic,562
171424,Riyad Mahrez,562
537860,Mykhaylo Mudryk,562
397033,Sandro Tonali,562
215876,Ricardo Pereira,562
284730,Manuel Akanji,562
4276,Carlos Tevez,562
255508,Inaki Williams,562
50202,Eden Hazard,562
4072,Peter Crouch,562
357164,Rafael Leao,562
3140,Ronaldo,562
139208,Virgil van Dijk,562
225693,Fabinho,562
3160,John Terry,562
35664,Mesut Ozil,562
204069,Milan Skriniar,562
3393,Mikael Silvestre,562
395516,Moussa Diaby,562
37579,Alexandre Pato,562
183288,Luke Shaw,562
80444,Philippe Coutinho,562
192735,Stanislav Lobotka,562
10,Miroslav Klose,562
214,Hasan Salihamidzic,562
3372,Rivaldo,562
3144,Robbie Keane,562
7518,Roberto Carlos,562
42205,Yann Sommer,562
520624,Bruno Guimaraes,562
6031,Antonio Di Natale,562
314353,Trent Alexander-Arnold,562
7531,Fernando Morientes,562
7607,Xavi,562
424042,Nahuel Molina,562
283735,Mattia Zaccagni,563
605184,Jean-Clair Todibo,563
26267,Fernandinho,563
3924,Didier Drogba,563
46156,Aleksandar Kolarov,563
45146,Mario Balotelli,563
5758,Edgar Davids,563
4276,Carlos Tevez,563
326029,Donyell Malen,563
16760,Yuriy Zhirkov,563
3394,Ole Gunnar Solskjaer,563
5422,Philippe Mexes,563
68863,Mauro Icardi,563
265088,Manuel Locatelli,563
361914,Nayef Aguerd,563
132098,Harry Kane,563
3415,Marcelo Salas,563
234803,Andrew Robertson,563
342385,Guido Rodriguez,563
1397,Michael Owen,563
406625,Lautaro Martinez,563
3216,Milan Baros,563
357164,Rafael Leao,563
44501,Marcelo,563
447661,Douglas Luiz,563
59561,Dani Parejo,563
411295,Raphinha,563
34557,Nicklas Bendtner,563
57071,Peter Gulacsi,563
1725,Jesper Christiansen,563
3518,Frank de Boer,563
315858,Gianluigi Donnarumma,563
37579,Alexandre Pato,563
354362,Rodrigo Bentancur,563
316264,Martin Odegaard,563
16911,Kasper Schmeichel,563
576024,Julian Alvarez,563
431755,Dejan Kulusevski,563
8564,Deco,563
128223,Alvaro Morata,563
37666,Arturo Vidal,563
388198,Nico Schlotterbeck,563
3924,Didier Drogba,564
3188,Sylvain Wiltord,564
3455,Zlatan Ibrahimovic,564
398065,Harvey Barnes,564
776890,Nicolas Jackson,564
8883,Emmanuel Adebayor,564
28021,Samir Handanovic,564
543499,Mohammed Kudus,564
70,Emerson,564
35773,Carlos Vela,564
192735,Stanislav Lobotka,564
